name,x,y,diameter_px
WELL_TL,142.20001220703125,220.20001220703125,
WELL_TR,1579.800048828125,299.4000244140625,
WELL_BL,267.0,750.6000366210938,
WELL_BR,1401.0,915.0000610351562,
WELL_DIAMETER,,,153.51998901367188
